#{"t_start": 1784708786.6030405, "env_id": "LunarLander-v3"}
r,l,t
-82.242088,96,20.134091
-118.057704,124,27.894487
-112.556224,86,28.133914
-87.426365,118,28.452507
-238.692367,88,28.686915
-96.434279,68,28.866605
-167.711144,62,29.043741
-336.167696,95,29.308984
-67.435317,62,29.469891
-349.605809,110,29.804916
-105.503111,76,30.021294
-219.792689,93,32.794069
-82.551274,139,33.188528
-332.446715,101,33.469392
-107.606099,100,33.745887
-167.735171,86,33.986768
-130.722095,80,34.195469
-25.469468,123,34.632565
-95.427079,98,34.989652
-373.506878,99,35.286772
-173.348378,68,35.481039
-267.748824,99,38.141643
-119.080593,110,38.446339
-217.243097,129,38.79575
-158.792355,121,39.145935
-73.63015,101,39.423922
-114.426188,91,39.683474
-85.004809,108,39.974938
-75.412088,73,40.200488
-98.790413,71,40.411535
-107.391855,122,40.773735
-247.819551,97,43.612454
-98.666225,69,43.832628
-112.128059,119,44.157412
-113.268163,124,44.541994
-349.67337,133,44.905897
-60.600343,60,45.073247
-123.890194,95,45.337106
-111.889341,65,45.554914
-105.161103,124,45.965144
-138.382951,72,46.173703
-107.234875,106,46.484829
-225.557187,89,49.242837
-54.097319,91,49.556898
-211.502787,156,50.092278
-93.016329,70,50.458992
-163.22545,109,51.098608
-196.190173,109,51.644936
-35.093446,80,52.059699
-159.405181,103,52.571098
-133.330246,130,53.239734
-52.664021,109,53.784966
-146.020026,90,60.412305
-218.166215,135,61.095829
-91.26185,76,61.472931
-95.425649,76,61.842467
-132.838225,97,62.356793
-112.814385,89,62.797932
-35.596135,99,63.296919
-122.800385,183,64.235245
-90.408503,103,64.739871
-77.115581,159,71.945081
-55.474884,124,72.540866
-200.974174,111,73.077586
-230.270917,118,73.658987
-154.175831,103,74.175691
-85.3576,87,74.598963
-46.300244,98,75.099781
-385.914961,137,75.779683
-42.567155,167,76.61769
-117.651112,89,83.782904
-329.459691,100,84.273623
16.99121,94,84.783159
-240.41278,119,85.374805
-231.678537,124,86.036814
-59.607564,109,86.589423
-100.721023,82,87.027638
-69.661418,91,87.473456
-92.862153,89,87.908408
-102.928665,90,88.355342
-114.944432,84,95.228752
-50.493472,113,95.790663
-181.710825,118,96.418787
-120.648212,103,96.934498
-123.874954,100,97.453107
-113.03058,146,98.187743
-84.058294,75,98.56378
-57.892969,144,99.301703
-68.999812,77,99.700399
-104.984708,109,100.262053
-41.979174,79,106.973498
-189.030015,141,107.716385
-107.485237,111,108.282718
-87.184759,132,108.932624
-54.715743,96,109.401058
-62.221895,113,110.008478
-303.915294,146,110.949181
-119.041897,106,111.533535
-52.252013,81,111.958228
-68.970435,102,118.894514
-44.811734,83,119.305315
-97.870289,107,119.86523
-97.870565,113,120.5281
-51.543071,97,121.438188
-86.25857,130,122.133414
-21.287675,138,122.822974
-178.296746,97,123.307301
-57.792674,132,124.026641
-48.126903,109,130.918066
-82.67961,75,131.319043
-158.470203,86,131.733277
-55.110624,130,132.430995
-2.099883,127,133.088327
-85.126322,91,133.54515
-32.821186,89,133.981945
-57.057183,93,134.430049
-75.599253,110,134.965281
-51.924763,77,135.356981
-12.795767,87,141.518454
-150.198901,142,142.166242
-24.659639,144,142.663896
-58.523183,91,142.944712
-17.249761,107,143.24809
-26.836643,112,143.587028
-29.541103,90,143.853601
-3.761354,123,144.271337
-30.173278,100,144.589419
-14.474185,126,147.639761
-31.79785,110,147.984334
6.044709,99,148.367281
-2.266996,145,148.860119
-15.615069,153,149.423118
-22.849297,101,149.728811
20.413537,159,150.215666
-10.172463,130,150.63665
-52.701237,113,153.428841
24.281093,136,153.837975
11.090777,90,154.084817
-36.767439,86,154.378679
24.380222,159,154.956961
-32.607981,121,155.317099
-27.562553,140,155.774343
-67.573311,116,156.210046
-18.608302,101,156.574833
1.571966,134,163.866883
-45.78894,102,164.382403
-0.384596,1000,176.224029
12.620649,163,177.095323
5.051445,149,177.930225
-40.019211,150,178.741986
46.203296,134,179.447627
-27.595999,104,179.995608
25.016741,140,180.741785
90.808724,1000,192.513267
-3.585211,123,199.637987
24.180437,142,200.457303
-2.444215,138,201.179919
-149.315431,376,203.199733
3.547954,1000,209.456898
144.110497,1000,214.882712
41.303499,179,215.446898
47.493266,1000,220.850263
-10.151532,154,221.375864
-91.586108,629,225.869513
15.549636,176,226.379597
142.367454,1000,231.929069
29.846816,1000,250.104708
-5.566461,183,250.607046
92.494238,1000,256.373537
17.81414,142,256.791798
87.98691,1000,262.303282
6.209664,212,265.782356
154.169378,1000,277.148638
70.710256,1000,288.293709
-104.594185,488,290.749471
10.414532,243,292.021593
118.669134,1000,303.191735
115.53473,1000,314.367247
-27.473973,193,315.33684
102.569184,1000,326.749885
72.929632,1000,337.932909
85.659534,1000,349.035482
102.386618,1000,360.174243
116.584724,1000,371.294186
106.095214,1000,382.49861
101.085749,1000,393.904753
150.245598,1000,405.047621
23.74814,266,412.660095
211.345678,538,415.330355
150.804574,1000,426.464803
121.694667,1000,437.660636
117.215829,1000,449.038505
-23.808867,295,450.523765
-3.463698,277,458.049435
-31.403078,205,459.059894
116.159562,1000,470.232325
145.941297,1000,481.507525
134.667766,1000,492.627722
157.912623,1000,503.790262
165.435896,1000,537.173265
135.452216,1000,548.358935
87.28808,1000,559.499806
142.910967,1000,570.747709
121.914316,1000,581.922354
140.743161,1000,593.314627
117.840394,1000,604.448236
148.937051,1000,609.388377
145.617665,1000,620.434615
143.173269,1000,631.784494
63.867864,1000,642.884612
85.988475,1000,654.084471
156.10999,1000,665.414838
141.799892,1000,676.493261
136.376603,1000,687.691443
75.553462,1000,698.817393
17.187462,299,706.430165
130.824058,1000,717.691421
124.789779,1000,729.852682
55.688797,307,731.364404
154.062849,1000,742.543078
140.918009,1000,753.684323
123.854487,1000,764.768913
162.122274,1000,775.93253
152.411701,1000,787.293684
146.095712,1000,798.436738
168.296199,1000,809.794976
122.882375,1000,837.300507
156.668646,1000,848.584803
141.185273,1000,859.627337
125.579721,1000,870.699518
166.997939,1000,881.720864
149.792906,1000,892.805717
138.194536,1000,903.905458
120.150293,1000,908.784178
160.75032,1000,920.073154
164.398687,1000,931.286528
128.713868,1000,942.373137
157.688669,1000,953.556782
125.139277,1000,964.670735
34.477697,235,971.981396
176.836554,1000,983.312689
117.257711,1000,994.438203
114.078814,1000,1005.472682
116.785391,1000,1016.637607
150.679424,1000,1021.613831
103.341231,1000,1032.691628
137.038491,1000,1043.989505
156.388569,1000,1055.105942
136.931539,1000,1066.156081
156.630967,1000,1077.219333
188.62703,1000,1088.322339
139.345178,1000,1112.898272
153.094703,1000,1124.043447
131.165353,1000,1135.446033
118.88687,1000,1146.81298
129.503359,1000,1157.919315
149.635045,1000,1169.269152
176.487024,1000,1180.482606
155.088417,1000,1191.566872
167.079047,1000,1202.70224
242.558955,356,1204.412498
145.022933,1000,1215.483773
266.091144,664,1225.014539
134.810177,1000,1236.226346
46.151217,276,1237.604134
238.654632,736,1247.330083
69.210153,202,1248.345484
255.549484,697,1257.912397
272.345652,495,1260.332167
263.024713,380,1268.33264
299.15072,365,1270.154807
292.551105,533,1278.912248
269.872946,280,1280.279547
262.563957,252,1281.508372
262.747427,377,1289.864296
278.436061,324,1291.534959
283.422746,483,1293.90636
99.28278,1000,1304.970493
299.691497,286,1312.547917
242.850301,721,1316.071493
276.435641,267,1323.603585
255.24822,356,1325.330972
239.970382,354,1327.026441
158.740724,1000,1338.091545
251.48703,291,1346.184529
280.790061,250,1347.398473
265.115266,268,1348.712262
278.873457,295,1350.208084
297.298773,299,1358.181704
137.871045,1000,1369.188255
233.639332,326,1370.764071
222.851856,295,1372.270972
253.150284,352,1380.200637
55.567911,246,1381.401748
275.600238,232,1382.57344
268.478911,269,1383.876547
299.443921,327,1402.305896
259.830349,297,1403.718702
295.054801,267,1405.355714
262.535349,314,1407.24964
